a,b
0.00142703,-0.059726729
0.102874798,-0.097934487
0.005660833,-0.064159938
0.024867304,-0.100573709
0.103130887,-0.098001382
0.005660911,-0.06415969
0.024867503,-0.100573636
0.030332776,-0.042756984
0.000461038,-4.969587823
0.001881974,-0.047732034
0.030525602,-0.042767979
0.000461097,-4.969647038
0.001881988,-0.047730417
0.075937138,-0.082583607
0.003553748,-0.062528571
0.015780342,-0.094663835
0.076385836,-0.082217451
0.003554147,-0.062526304
0.015781094,-0.094660684
0.032747821,-0.046765247
0.000322394,-0.043351724
0.001624348,-0.054197505
0.032926387,-0.046282547
0.000322433,-0.043345157
0.001624422,-0.054192899
0.088653701,-0.08116746
0.005196903,-0.054252908
0.020956153,-0.083428712
0.0887435,-0.081106798
0.005197001,-0.054253038
0.020956364,-0.083428665
0.036234302,-0.04354125
0.000450317,-0.034338889
0.002128458,-0.046078156
0.036259974,-0.043422908
0.000450317,-0.03433734
0.002128463,-0.046077284
0.047992262,-0.066509273
0.001762074,-0.037916584
0.011684497,-0.086298846
0.047867364,-0.06568284
0.001762,-0.037908789
0.011684509,-0.086294077
0.010579377,-0.017499578
0.000193226,-4.986627372
0.000748942,-0.034237312
0.010361015,-0.016362477
0.000193266,-4.98666064
0.000748802,-0.034222518
0.061586002,-0.064429923
0.002938338,-0.034124224
0.015395385,-0.069136265
0.061591007,-0.064356852
0.002938313,-0.034123196
0.015395372,-0.069135752
0.01393102,-0.018464214
0.000314716,-4.738168044
0.000919393,-0.023622342
0.01391769,-0.01831919
0.000314732,-4.738966768
0.000919399,-0.023621767
0.069661595,-0.076620031
0.003414671,-0.06030282
0.01477928,-0.089859103
0.070142924,-0.076057908
0.003415115,-0.060297692
0.01478005,-0.089854422
0.029463751,-0.04173154
0.000267529,-0.036298854
0.001499062,-0.0499749
0.029483991,-0.040667657
0.000267558,-0.036285789
0.00149911,-0.049966652
0.082351863,-0.075109224
0.005057549,-0.052731667
0.019506765,-0.077668193
0.082401808,-0.075073232
0.005057581,-0.052731309
0.019506873,-0.077668173
0.035406459,-0.04178116
0.000432457,-0.032686058
0.002084055,-0.044350596
0.035330301,-0.041493954
0.000432446,-0.032683354
0.00208317,-0.044327299
0.053517128,-0.064042738
0.0027726,-0.049379416
0.011715895,-0.076785495
0.053805925,-0.063530106
0.002773076,-0.049377703
0.011716629,-0.076780818
0.017162985,-0.02458448
0.000149168,-0.018756584
0.000832336,-0.029993186
0.017116951,-0.023859595
0.000149242,-0.018768936
0.000832339,-0.02998601
0.062026015,-0.06136069
0.00381519,-0.040979016
0.015105803,-0.064766358
0.062082655,-0.061298893
0.003815359,-0.040979853
0.015105941,-0.064765972
0.018652233,-0.023082052
0.000408316,-4.975468135
0.001112798,-0.025744966
0.018625906,-0.022920272
0.000408326,-4.975554387
0.001114013,-0.025779985
0.078614114,-0.088168326
0.003584914,-0.065174357
0.01671436,-0.101684337
0.078751661,-0.087179901
0.003585232,-0.06516708
0.016714799,-0.101676241
0.028176463,-0.042631312
0.000251218,-0.035826417
0.001462681,-0.052163528
0.028164489,-0.041733516
0.000251233,-0.035816213
0.00146309,-0.052172191
0.094896768,-0.087761783
0.005411492,-0.058397262
0.022491767,-0.090227628
0.094902414,-0.087672497
0.005411508,-0.05839623
0.022491798,-0.090226794
0.032087079,-0.040473209
0.000361891,-0.0295277
0.001892157,-0.043704884
0.032075749,-0.040345298
0.000361882,-0.029525615
0.001891952,-0.043698041
0.071960582,-0.080480949
0.003212186,-0.058179508
0.015162929,-0.093940708
0.072480316,-0.080100943
0.003212768,-0.058179669
0.015163982,-0.093938145
0.026283382,-0.037770326
0.000243348,-0.032557361
0.001361382,-0.046416876
0.026246066,-0.036814273
0.000243363,-0.032547951
0.001361432,-0.046410794
0.084008963,-0.078111539
0.004631054,-0.049162392
0.019773287,-0.080329851
0.08420297,-0.078159917
0.004631292,-0.04916378
0.019773807,-0.080330886
0.030061971,-0.036165632
0.000345375,-0.026077914
0.001771534,-0.038949844
0.029990202,-0.03591355
0.000345367,-0.026075643
0.001771523,-0.038948513
0.064677824,-0.080492913
0.003018976,-0.060016999
0.01429159,-0.095748686
0.065112961,-0.080189213
0.003019466,-0.060019657
0.014292223,-0.09574583
0.022047212,-0.036084963
0.000263663,-4.715952903
0.001156707,-0.045099425
0.022205442,-0.035486677
0.000263836,-4.716063532
0.001156791,-0.045095189
0.078452565,-0.078130068
0.004549072,-0.051731806
0.018886681,-0.081163796
0.078563855,-0.078120802
0.004549115,-0.051731174
0.018886831,-0.081163752
0.024788065,-0.032794937
0.000419971,-4.960247454
0.001516288,-0.036676875
0.024854,-0.032681697
0.000420035,-4.960309423
0.001516312,-0.036676139
0.069748954,-0.078880467
0.003211496,-0.056676484
0.015246971,-0.094183412
0.070302999,-0.078577226
0.003211994,-0.056675733
0.015247956,-0.094181199
0.026341209,-0.038639678
0.000227664,-0.030688913
0.001325594,-0.046379773
0.026361831,-0.037519038
0.000227679,-0.030676721
0.001325262,-0.046356002
0.084162102,-0.077299855
0.00481502,-0.049289841
0.020216632,-0.080496202
0.084225754,-0.077265872
0.00481504,-0.049289333
0.020216719,-0.080496056
0.026918433,-0.032427868
0.000304181,-0.022486135
0.001625077,-0.035886015
0.026939247,-0.032228441
0.000304182,-0.022484252
0.001625081,-0.035884672
0.06913858,-0.087801764
0.00352827,-0.071210769
0.014723524,-0.101872731
0.069678751,-0.08658446
0.003528731,-0.071200829
0.014724277,-0.101863904
0.024292013,-0.041272624
0.000204336,-0.031893479
0.001271687,-0.05229952
0.024473106,-0.039717957
0.000204431,-0.031885186
0.001271649,-0.052276372
0.080041969,-0.082501599
0.004779883,-0.055957963
0.018992457,-0.084938493
0.080240275,-0.082486824
0.004779994,-0.055957139
0.018992729,-0.08493824
0.026512383,-0.037399967
0.000296968,-0.025773344
0.001597345,-0.041372476
0.026499858,-0.037060846
0.000297752,-0.025861088
0.001596356,-0.041337906
0.045515448,-0.054569673
0.002039444,-0.038104917
0.009529854,-0.065325486
0.045936413,-0.054149225
0.002040093,-0.038107819
0.009530719,-0.065322245
0.022171016,-0.032216137
0.000223106,-0.029902705
0.001065252,-0.037831954
0.022220874,-0.031470391
0.000223135,-0.029893371
0.00106672,-0.037888412
0.049775309,-0.050782182
0.00278086,-0.031089146
0.011960403,-0.053652261
0.049798437,-0.050727079
0.002780875,-0.031088636
0.011960467,-0.053651956
0.021691342,-0.027290873
0.000265288,-0.020372869
0.001273184,-0.029531521
0.021659888,-0.02716398
0.000265277,-0.020371253
0.001273175,-0.029530701
0.049820294,-0.066424308
0.001942789,-0.039847496
0.011253774,-0.082036376
0.050466949,-0.066467525
0.001942955,-0.0398418
0.01125484,-0.082036167
0.016266019,-0.027057174
0.000240624,-4.744617225
0.000911042,-0.0380047
0.016149243,-0.025969477
0.000240775,-4.74321719
0.000911091,-0.037998076
0.056609644,-0.059886289
0.002763405,-0.032025654
0.013966002,-0.064324583
0.05674557,-0.059941046
0.002763394,-0.032024546
0.013966135,-0.06432466
0.016779206,-0.022279187
0.000339656,-4.951020235
0.001064874,-0.026984404
0.016743274,-0.022022992
0.000339728,-4.95103112
0.001064876,-0.026983021
0.066299742,-0.079808721
0.002902365,-0.0558562
0.014347002,-0.093700461
0.066485904,-0.079394273
0.002902467,-0.055850556
0.014347492,-0.093697489
0.025329671,-0.040572006
0.000214267,-0.031324986
0.001321236,-0.050012952
0.025289448,-0.039850702
0.00021425,-0.031312693
0.001320796,-0.049986801
0.077767632,-0.075377894
0.004249728,-0.046767965
0.018694999,-0.078279863
0.077828426,-0.075360427
0.004249763,-0.046767615
0.018695176,-0.078280118
0.026470473,-0.034570485
0.000274841,-0.021522217
0.001598049,-0.038315539
0.026455241,-0.034403587
0.000274721,-0.021508441
0.001598039,-0.038314368
0.048286836,-0.061152899
0.001998542,-0.038686203
0.01102743,-0.077039411
0.048458976,-0.060710151
0.002002833,-0.03877915
0.011028121,-0.077037807
0.013670637,-0.020456818
0.000115959,-0.014834138
0.000752597,-0.029078823
0.013514829,-0.019573747
0.000115945,-0.014824252
0.000752541,-0.029070359
0.059952556,-0.060197693
0.003138967,-0.034644985
0.014567912,-0.063621328
0.060036237,-0.060192059
0.003139011,-0.034644667
0.014568134,-0.0636217
0.016353828,-0.020668011
0.000183097,-0.013280628
0.001006625,-0.024200674
0.016342154,-0.020518228
0.0001831,-0.013279571
0.001006614,-0.024199428
0.056405931,-0.068828983
0.002290211,-0.043189053
0.012585919,-0.083523258
0.056625624,-0.068174279
0.00229048,-0.043184642
0.012586547,-0.083518085
0.018717094,-0.029366166
0.000219759,-4.5572428
0.000975958,-0.03793107
0.01848969,-0.028092841
0.000219848,-4.55656784
0.000975903,-0.037919244
0.070424142,-0.068611766
0.003849851,-0.041693085
0.017043376,-0.071993515
0.070472634,-0.068521993
0.003849917,-0.041692632
0.01704352,-0.071993018
0.020721344,-0.027254134
0.000335905,-4.965695727
0.001263674,-0.030997746
0.020679143,-0.027045613
0.000335921,-4.965737897
0.00126394,-0.031004878
0.072077649,-0.078935884
0.003514797,-0.061158596
0.015867261,-0.093483949
0.072059007,-0.077990223
0.003514848,-0.061149288
0.015867377,-0.093477549
0.022469253,-0.032341362
0.000176355,-0.024178461
0.001273566,-0.043884602
0.022204492,-0.030839475
0.000176346,-0.02416329
0.001273057,-0.043853575
0.089387769,-0.07851444
0.005354467,-0.05400225
0.021217583,-0.080977139
0.089481988,-0.078416272
0.005354566,-0.05400173
0.021217789,-0.080976785
0.02996637,-0.035779018
0.000319145,-0.024713106
0.001818205,-0.039675122
