Lon,Lat
143.3,-12.274
143.45,-12.298
143.21,-12.359
143.49,-12.379
143.47,-12.461
143.91,-11.996
143.91,-11.998
143.43,-11.99
143.92,-12.006
143.95,-12.021
143.85,-12.035
143.87,-12.04
143.9,-12.048
143.83,-12.043
143.96,-12.066
143.92,-12.057
143.82,-12.053
143.81,-12.074
143.8,-12.097
143.81,-12.134
143.79,-12.16
143.8,-12.173
143.78,-12.196
143.79,-12.21
143.85,-12.223
143.82,-12.224
143.87,-12.241
143.89,-12.246
143.9,-12.285
143.83,-12.341
143.79,-12.365
143.76,-12.39
143.75,-12.414
143.77,-12.414
143.84,-12.416
143.75,-12.439
143.76,-12.468
143.76,-12.485
143.77,-12.492
143.32,-12.553
143.39,-12.586
143.43,-12.613
143.42,-12.655
143.45,-12.661
143.4,-12.714
143.4,-12.755
143.47,-12.78
143.37,-12.778
143.49,-12.783
143.77,-12.517
143.6,-12.521
143.79,-12.535
143.78,-12.571
143.79,-12.578
143.79,-12.584
143.86,-12.585
143.7,-12.783
143.81,-12.601
143.52,-12.594
143.83,-12.637
143.56,-12.642
143.84,-12.684
143.81,-12.697
143.82,-12.697
143.81,-12.707
143.81,-12.723
143.61,-12.715
143.79,-12.748
143.81,-12.76
143.6,-12.767
143.8,-12.799
143.83,-12.833
143.61,-12.812
143.7,-12.875
143.82,-12.896
143.6,-12.888
143.53,-12.923
143.82,-12.935
143.82,-12.95
143.83,-12.968
143.85,-13
143.61,-12.992
143.86,-13.024
143.54,-13.032
143.87,-13.041
143.63,-13.044
143.52,-13.032
143.56,-13.066
143.7,-13.068
143.9,-13.073
143.93,-13.081
143.51,-13.111
143.56,-13.11
143.73,-13.098
143.65,-13.11
143.64,-13.153
143.61,-13.152
143.66,-13.164
143.77,-13.168
143.96,-13.154
143.53,-13.175
143.57,-13.185
143.74,-13.235
143.57,-13.219
143.94,-13.276
143.69,-13.28
143.53,-13.294
143.6,-13.278
143.67,-13.309
143.97,-13.324
143.73,-13.328
143.6,-13.331
143.78,-13.337
143.96,-13.369
143.7,-13.379
143.75,-13.413
143.97,-13.415
143.82,-13.425
143.63,-13.456
143.62,-13.469
143.74,-13.487
144.05,-13.478
143.65,-13.544
143.8,-13.523
143.86,-13.544
143.92,-13.642
143.83,-13.657
143.56,-13.646
143.73,-13.654
143.69,-13.671
143.81,-13.704
143.56,-13.728
143.83,-13.758
143.9,-13.744
143.94,-13.76
143.64,-13.773
143.55,-13.77
143.96,-13.798
143.72,-13.867
143.94,-13.867
143.64,-13.885
143.6,-13.886
143.89,-13.909
143.84,-13.917
143.96,-13.88
143.62,-13.927
143.75,-13.946
143.84,-13.963
143.68,-13.973
144.09,-13.545
144.1,-13.599
144.1,-13.63
144.16,-13.678
144.23,-13.735
144.27,-13.781
144.02,-13.863
144.13,-13.857
144.08,-13.869
144.31,-13.867
144.35,-13.923
144.35,-13.948
144.4,-13.953
144.45,-13.979
144.57,-13.963
144.52,-13.982
143.69,-14.033
143.98,-14.005
143.86,-14.065
143.91,-14.079
143.71,-14.138
143.79,-14.227
143.73,-14.257
143.78,-14.29
144.11,-13.977
144.24,-14.069
144,-14.129
144.23,-14.159
144.74,-14.181
144.24,-14.21
144.22,-14.218
144.27,-14.222
144.35,-14.272
144.74,-14.038
144.67,-14.089
144.52,-14.122
144.64,-14.153
144.26,-14.179
144.8,-14.181
144.89,-14.201
144.93,-14.213
144.96,-14.228
144.74,-14.25
144.69,-14.299
144.79,-14.311
144.86,-14.323
144.74,-14.319
144.96,-14.329
144.71,-14.336
144.59,-14.336
144.59,-14.323
144.65,-14.344
144.76,-14.361
144.96,-14.378
