Centroid LON,Centroid LAT
143.4462,-10.8976
143.5538,-10.9306
143.627199999999,-10.9758
143.7135,-10.9418
143.768,-11.0143
143.7782,-10.9839
143.955999999999,-10.7417
144.002299999999,-10.9352
144.0341,-10.9125
142.7391,-10.8108
142.7458,-10.9941
143.9531,-10.6851
143.991899999999,-10.8598
143.658899999999,-10.8564
143.711199999999,-10.8594
143.793399999999,-10.8695
143.4686,-10.8054
143.5855,-10.8526
144.011,-10.8878
143.552799999999,-10.8966999999999
144.0129,-10.9270999999999
143.5727,-10.9115
144.014199999999,-10.9638
144.0317,-10.9658
143.4666,-10.8815
144.034799999999,-10.9967
144.0166,-10.986
144.010099999999,-11.0063
144.0131,-11.018
143.9948,-11.0174
143.365,-10.9905
143.2949,-10.987
143.663299999999,-10.904
143.757399999999,-10.8996
143.533899999999,-10.9137
143.0994,-11.1743
142.9924,-11.0068
142.7555,-11.025
142.782299999999,-11.071
142.836999999999,-11.1587
142.811299999999,-11.1854999999999
142.812299999999,-11.1943
142.824,-11.2317
142.818999999999,-11.2489
142.8724,-11.257
142.9284,-11.2489
142.8287,-11.2902
142.8309,-11.2939
142.8655,-11.3727
142.965599999999,-11.3843999999999
142.9353,-11.4349
142.841299999999,-11.4244
143.2418,-11.0226
143.3333,-11.0279
143.3563,-11.0322
143.474099999999,-11.0288
143.3795,-11.0388
143.3709,-11.0588
143.4644,-11.0444999999999
143.402199999999,-11.0745
143.3194,-11.0787999999999
143.0908,-11.0698
143.028099999999,-11.1164
143.000599999999,-11.1292
143.4958,-11.1075
143.252299999999,-11.1285
143.4378,-11.1439
143.2244,-11.1422
143.4213,-11.1598
143.3933,-11.1839999999999
143.3939,-11.2044999999999
143.545199999999,-11.367
143.3356,-11.361
143.160599999999,-11.3772
143.0732,-11.3705
143.0696,-11.3895
143.035,-11.3848
143.1651,-11.4339
143.041799999999,-11.4537999999999
143.03,-11.1816
143.1973,-11.1831
143.315599999999,-11.2141
143.0003,-11.2429
143.2571,-11.2415
143.1497,-11.2712
143.0342,-11.2886
143.0462,-11.2873
143.1961,-11.2948
143.281299999999,-11.2974
143.3642,-11.2735
143.4849,-11.2704
143.126299999999,-11.3192
143.1277,-11.3416
143.4023,-11.3272999999999
143.5423,-11.2531
143.995499999999,-11.2826
144.005699999999,-11.2824
143.996,-11.2948
143.9794,-11.2954
143.980799999999,-11.3092
143.4008,-11.5055999999999
143.2747,-11.462
143.3112,-11.3965
143.3775,-11.4605999999999
143.438099999999,-11.4305
143.124599999999,-11.4681
143.1566,-11.4718
143.075099999999,-11.4819999999999
143.0401,-11.4888999999999
143.0284,-11.4972999999999
143.4999,-10.9776
143.5945,-11.0193999999999
143.668499999999,-11.0978999999999
143.5851,-11.1511
143.694799999999,-11.1572
143.5343,-11.1480999999999
143.5885,-11.2075999999999
143.717299999999,-11.1948
143.798499999999,-11.3148
143.655499999999,-11.2438
143.8194,-11.2555
143.6352,-11.4735
143.7066,-11.4659999999999
143.928699999999,-11.476
144.0174,-11.4728999999999
143.9009,-11.4778
143.9247,-11.4918999999999
143.944799999999,-11.4821
143.8582,-11.4899
143.538299999999,-11.4982
143.9968,-11.0306
144.0163,-11.0396
144.022799999999,-11.0478
144.0325,-11.0547
144.040699999999,-11.0692
144.0401,-11.1022
144.0316,-11.1312
144.0258,-11.1405999999999
144.0558,-11.1486
143.9615,-11.3219999999999
143.9819,-11.3282
143.5044,-11.308
143.6722,-11.3050999999999
143.956899999999,-11.3484
143.9521,-11.3559
143.964,-11.3611
143.976699999999,-11.3644
143.951699999999,-11.3637
143.943999999999,-11.3721999999999
143.9583,-11.3714999999999
