ID,a,b,params
200,3.22E-04,-0.0434,_d75_1121_P7
201,0.0016,-0.0542,_d75_1122
202,0.0329,-0.0463,_d75_1122_P5
203,3.22E-04,-0.0433,_d75_1122_P7
204,0.0016,-0.0542,_d75_2111
205,0.0887,-0.0812,_d75_2111_P5
206,0.0052,-0.0543,_d75_2111_P7
207,0.021,-0.0834,_d75_2112
208,0.0887,-0.0811,_d75_2112_P5
209,0.0052,-0.0543,_d75_2112_P7
210,0.021,-0.0834,_d75_2121
211,0.0362,-0.0435,_d75_2121_P5
212,4.50E-04,-0.0343,_d75_2121_P7
213,0.0021,-0.0461,_d75_2122
214,0.0363,-0.0434,_d75_2122_P5
215,4.50E-04,-0.0343,_d75_2122_P7
216,0.0021,-0.0461,_d76_1111
217,0.048,-0.0665,_d76_1111_P5
218,0.0018,-0.0379,_d76_1111_P7
219,0.0117,-0.0863,_d76_1112
220,0.0479,-0.0657,_d76_1112_P5
221,0.0018,-0.0379,_d76_1112_P7
222,0.0117,-0.0863,_d76_1121
223,0.0106,-0.0175,_d76_1121_P5
224,1.93E-04,-4.9866,_d76_1121_P7
225,7.49E-04,-0.0342,_d76_1122
226,0.0104,-0.0164,_d76_1122_P5
227,1.93E-04,-4.9867,_d76_1122_P7
228,7.49E-04,-0.0342,_d76_2111
229,0.0616,-0.0644,_d76_2111_P5
230,0.0029,-0.0341,_d76_2111_P7
231,0.0154,-0.0691,_d76_2112
232,0.0616,-0.0644,_d76_2112_P5
233,0.0029,-0.0341,_d76_2112_P7
234,0.0154,-0.0691,_d76_2121
235,0.0139,-0.0185,_d76_2121_P5
236,3.15E-04,-4.7382,_d76_2121_P7
237,9.19E-04,-0.0236,_d76_2122
238,0.0139,-0.0183,_d76_2122_P5
239,3.15E-04,-4.739,_d76_2122_P7
240,9.19E-04,-0.0236,_d77_1111
241,0.0697,-0.0766,_d77_1111_P5
242,0.0034,-0.0603,_d77_1111_P7
243,0.0148,-0.0899,_d77_1112
244,0.0701,-0.0761,_d77_1112_P5
245,0.0034,-0.0603,_d77_1112_P7
246,0.0148,-0.0899,_d77_1121
247,0.0295,-0.0417,_d77_1121_P5
248,2.68E-04,-0.0363,_d77_1121_P7
249,0.0015,-0.05,_d77_1122
250,0.0295,-0.0407,_d77_1122_P5
251,2.68E-04,-0.0363,_d77_1122_P7
252,0.0015,-0.05,_d77_2111
253,0.0824,-0.0751,_d77_2111_P5
254,0.0051,-0.0527,_d77_2111_P7
255,0.0195,-0.0777,_d77_2112
256,0.0824,-0.0751,_d77_2112_P5
257,0.0051,-0.0527,_d77_2112_P7
258,0.0195,-0.0777,_d77_2121
259,0.0354,-0.0418,_d77_2121_P5
260,4.32E-04,-0.0327,_d77_2121_P7
261,0.0021,-0.0444,_d77_2122
262,0.0353,-0.0415,_d77_2122_P5
263,4.32E-04,-0.0327,_d77_2122_P7
264,0.0021,-0.0443,_d78_1111
265,0.0535,-0.064,_d78_1111_P5
266,0.0028,-0.0494,_d78_1111_P7
267,0.0117,-0.0768,_d78_1112
268,0.0538,-0.0635,_d78_1112_P5
269,0.0028,-0.0494,_d78_1112_P7
270,0.0117,-0.0768,_d78_1121
271,0.0172,-0.0246,_d78_1121_P5
272,1.49E-04,-0.0188,_d78_1121_P7
273,8.32E-04,-0.03,_d78_1122
274,0.0171,-0.0239,_d78_1122_P5
275,1.49E-04,-0.0188,_d78_1122_P7
276,8.32E-04,-0.03,_d78_2111
277,0.062,-0.0614,_d78_2111_P5
278,0.0038,-0.041,_d78_2111_P7
279,0.0151,-0.0648,_d78_2112
280,0.0621,-0.0613,_d78_2112_P5
281,0.0038,-0.041,_d78_2112_P7
282,0.0151,-0.0648,_d78_2121
283,0.0187,-0.0231,_d78_2121_P5
284,4.08E-04,-4.9755,_d78_2121_P7
285,0.0011,-0.0257,_d78_2122
286,0.0186,-0.0229,_d78_2122_P5
287,4.08E-04,-4.9756,_d78_2122_P7
288,0.0011,-0.0258,_d79_1111
289,0.0786,-0.0882,_d79_1111_P5
290,0.0036,-0.0652,_d79_1111_P7
291,0.0167,-0.1017,_d79_1112
292,0.0788,-0.0872,_d79_1112_P5
293,0.0036,-0.0652,_d79_1112_P7
294,0.0167,-0.1017,_d79_1121
295,0.0282,-0.0426,_d79_1121_P5
296,2.51E-04,-0.0358,_d79_1121_P7
297,0.0015,-0.0522,_d79_1122
298,0.0282,-0.0417,_d79_1122_P5
299,2.51E-04,-0.0358,_d79_1122_P7
300,0.0015,-0.0522,_d79_2111
301,0.0949,-0.0878,_d79_2111_P5
302,0.0054,-0.0584,_d79_2111_P7
303,0.0225,-0.0902,_d79_2112
304,0.0949,-0.0877,_d79_2112_P5
305,0.0054,-0.0584,_d79_2112_P7
306,0.0225,-0.0902,_d79_2121
307,0.0321,-0.0405,_d79_2121_P5
308,3.62E-04,-0.0295,_d79_2121_P7
309,0.0019,-0.0437,_d79_2122
310,0.0321,-0.0403,_d79_2122_P5
311,3.62E-04,-0.0295,_d79_2122_P7
312,0.0019,-0.0437,_d80_1111
313,0.072,-0.0805,_d80_1111_P5
314,0.0032,-0.0582,_d80_1111_P7
315,0.0152,-0.0939,_d80_1112
316,0.0725,-0.0801,_d80_1112_P5
317,0.0032,-0.0582,_d80_1112_P7
318,0.0152,-0.0939,_d80_1121
319,0.0263,-0.0378,_d80_1121_P5
320,2.43E-04,-0.0326,_d80_1121_P7
321,0.0014,-0.0464,_d80_1122
322,0.0262,-0.0368,_d80_1122_P5
323,2.43E-04,-0.0325,_d80_1122_P7
324,0.0014,-0.0464,_d80_2111
325,0.084,-0.0781,_d80_2111_P5
326,0.0046,-0.0492,_d80_2111_P7
327,0.0198,-0.0803,_d80_2112
328,0.0842,-0.0782,_d80_2112_P5
329,0.0046,-0.0492,_d80_2112_P7
330,0.0198,-0.0803,_d80_2121
331,0.0301,-0.0362,_d80_2121_P5
332,3.45E-04,-0.0261,_d80_2121_P7
333,0.0018,-0.0389,_d80_2122
334,0.03,-0.0359,_d80_2122_P5
335,3.45E-04,-0.0261,_d80_2122_P7
336,0.0018,-0.0389,_d81_1111
337,0.0647,-0.0805,_d81_1111_P5
338,0.003,-0.06,_d81_1111_P7
339,0.0143,-0.0957,_d81_1112
340,0.0651,-0.0802,_d81_1112_P5
341,0.003,-0.06,_d81_1112_P7
342,0.0143,-0.0957,_d81_1121
343,0.022,-0.0361,_d81_1121_P5
344,2.64E-04,-4.716,_d81_1121_P7
345,0.0012,-0.0451,_d81_1122
346,0.0222,-0.0355,_d81_1122_P5
347,2.64E-04,-4.7161,_d81_1122_P7
348,0.0012,-0.0451,_d81_2111
349,0.0785,-0.0781,_d81_2111_P5
350,0.0045,-0.0517,_d81_2111_P7
351,0.0189,-0.0812,_d81_2112
352,0.0786,-0.0781,_d81_2112_P5
353,0.0045,-0.0517,_d81_2112_P7
354,0.0189,-0.0812,_d81_2121
355,0.0248,-0.0328,_d81_2121_P5
356,4.20E-04,-4.9602,_d81_2121_P7
357,0.0015,-0.0367,_d81_2122
358,0.0249,-0.0327,_d81_2122_P5
359,4.20E-04,-4.9603,_d81_2122_P7
360,0.0015,-0.0367,_d82_1111
361,0.0697,-0.0789,_d82_1111_P5
362,0.0032,-0.0567,_d82_1111_P7
363,0.0152,-0.0942,_d82_1112
364,0.0703,-0.0786,_d82_1112_P5
365,0.0032,-0.0567,_d82_1112_P7
366,0.0152,-0.0942,_d82_1121
367,0.0263,-0.0386,_d82_1121_P5
368,2.28E-04,-0.0307,_d82_1121_P7
369,0.0013,-0.0464,_d82_1122
370,0.0264,-0.0375,_d82_1122_P5
371,2.28E-04,-0.0307,_d82_1122_P7
372,0.0013,-0.0464,_d82_2111
373,0.0842,-0.0773,_d82_2111_P5
374,0.0048,-0.0493,_d82_2111_P7
375,0.0202,-0.0805,_d82_2112
376,0.0842,-0.0773,_d82_2112_P5
377,0.0048,-0.0493,_d82_2112_P7
378,0.0202,-0.0805,_d82_2121
379,0.0269,-0.0324,_d82_2121_P5
380,3.04E-04,-0.0225,_d82_2121_P7
381,0.0016,-0.0359,_d82_2122
382,0.0269,-0.0322,_d82_2122_P5
383,3.04E-04,-0.0225,_d82_2122_P7
384,0.0016,-0.0359,_d83_1111
385,0.0691,-0.0878,_d83_1111_P5
386,0.0035,-0.0712,_d83_1111_P7
387,0.0147,-0.1019,_d83_1112
388,0.0697,-0.0866,_d83_1112_P5
389,0.0035,-0.0712,_d83_1112_P7
390,0.0147,-0.1019,_d83_1121
391,0.0243,-0.0413,_d83_1121_P5
392,2.04E-04,-0.0319,_d83_1121_P7
393,0.0013,-0.0523,_d83_1122
394,0.0245,-0.0397,_d83_1122_P5
